iter	Logloss
168	0.44167472
169	0.4415823681
170	0.4414364719
171	0.4413308125
172	0.4412358161
173	0.4411421376
174	0.4410465582
175	0.4409792583
176	0.4408269709
177	0.440741721
178	0.4406617901
179	0.4405707578
180	0.4404936504
181	0.440382176
182	0.440280735
183	0.4402034901
184	0.4401211409
185	0.4400456446
186	0.4399626199
187	0.4398792935
188	0.4397795174
189	0.4397239785
190	0.4396632981
191	0.4395701212
192	0.4394953858
193	0.439442699
194	0.4393566881
195	0.4392764319
196	0.4392089996
197	0.4391291132
198	0.439067114
199	0.4389907589
200	0.4389555901
201	0.4388556412
202	0.4387853868
203	0.4387425075
204	0.4386705896
205	0.438587046
206	0.4384927113
207	0.4384135789
208	0.4383414895
209	0.4382715815
210	0.4382023376
211	0.4381170202
212	0.4380246569
213	0.4379459056
214	0.4378652896
215	0.4377612308
216	0.4376837872
217	0.4376018945
218	0.4375322635
219	0.4374600988
220	0.437358647
221	0.4372829142
222	0.4372267499
223	0.4371613483
224	0.4370844058
225	0.4370197873
226	0.4369552953
227	0.4368894258
228	0.4367947971
229	0.4367104876
230	0.4366388714
231	0.4365590916
232	0.4364834584
233	0.436413416
234	0.4363364752
235	0.4362853404
236	0.4362339452
237	0.4361792626
238	0.4361038988
239	0.4360374396
240	0.4359557644
241	0.4359187469
242	0.435853255
243	0.4357393768
244	0.4356755417
245	0.435612278
246	0.4355522339
247	0.4354661553
248	0.4353982085
249	0.4353391819
250	0.4352742858
251	0.4352129442
252	0.4351352475
253	0.4350625658
254	0.4349871899
255	0.4349243432
256	0.434869918
257	0.4347966292
258	0.4347534032
259	0.434683562
260	0.4346218298
261	0.4345302523
262	0.4344620917
263	0.4344038102
264	0.4343292182
265	0.4342451169
266	0.4341567219
267	0.4341536184
268	0.4340927702
269	0.4340250293
270	0.433951227
271	0.4338961672
272	0.4338297975
273	0.4337573224
274	0.433692704
275	0.4336195719
276	0.4335622845
277	0.4334882916
278	0.4334315314
279	0.4333800164
280	0.4332896217
281	0.4332208267
282	0.4331409342
283	0.4330794373
284	0.433011797
285	0.4329323481
286	0.4328761802
287	0.4328061184
288	0.4327605821
289	0.4326705746
290	0.4326062535
291	0.4325334184
292	0.4324652997
293	0.4324072197
294	0.4323339456
295	0.4322671765
296	0.432204107
297	0.4321225568
298	0.4320602325
299	0.4320236747
300	0.4319742672
301	0.4319055022
302	0.4318404547
303	0.4317973041
304	0.431737732
305	0.4317002106
306	0.4316415225
307	0.4315704239
308	0.4315099697
309	0.4314404716
310	0.4313851586
311	0.4313637527
312	0.4313050956
313	0.4312509182
314	0.4311791624
315	0.4311093617
316	0.4310656168
317	0.4310206926
318	0.4309617858
319	0.4309018327
320	0.4308377247
321	0.4307813473
322	0.4307321778
323	0.4306799789
324	0.4306119287
325	0.4305535646
326	0.4305086567
327	0.4304677236
328	0.4304126451
329	0.4303408643
330	0.4302650272
331	0.4302574577
332	0.430200899
333	0.4301295452
334	0.430065512
335	0.4300619708
336	0.4300180305
337	0.4299630155
338	0.4299126753
339	0.4298706479
340	0.4298683399
341	0.4298008101
342	0.4297528834
343	0.4296909227
344	0.4296300848
345	0.4295812039
346	0.429554577
347	0.4294875014
348	0.4294361583
349	0.4293702896
350	0.4293221092
351	0.4292652469
352	0.4292228209
353	0.4291496796
354	0.4290942204
355	0.4290167616
356	0.4289666233
357	0.4289077386
358	0.4288468036
359	0.4287865003
360	0.4287257469
361	0.4286868898
362	0.4286169831
363	0.4285595484
364	0.4285027573
365	0.4284413862
366	0.4283770607
367	0.4283312635
368	0.4282809511
369	0.42822491
370	0.4281696494
371	0.4281210629
372	0.4280531345
373	0.4279956313
374	0.4279465609
375	0.4279360291
376	0.4278743201
377	0.4278141164
378	0.4277633274
379	0.4277103982
380	0.4276483822
381	0.4276011309
382	0.4275631967
383	0.4275172851
384	0.427461467
385	0.427400663
386	0.4273604253
387	0.4273193247
388	0.4272669547
389	0.4272157922
390	0.4271790589
391	0.4271074007
392	0.4270508897
393	0.4270327144
394	0.4269849308
395	0.4269343607
396	0.4268831469
397	0.4268511771
398	0.4267822975
399	0.4267160431
400	0.4266313048
401	0.4265696864
402	0.426515062
403	0.4264694229
404	0.426413252
405	0.4263668297
406	0.4263163754
407	0.4262518608
408	0.4262102456
409	0.4261650363
410	0.4261132029
411	0.4260474377
412	0.4259742819
413	0.425924847
414	0.4258748852
415	0.4258190143
416	0.425777329
417	0.4257213705
418	0.42566687
419	0.4256275124
420	0.4255794344
421	0.425537581
422	0.4254931025
423	0.4254466233
424	0.4253955629
425	0.4253429047
426	0.4252961127
427	0.4252533542
428	0.4251933724
429	0.4251468454
430	0.4250962799
431	0.4250391596
432	0.4249810198
433	0.424926772
434	0.4248914378
435	0.4248545984
436	0.4248176613
437	0.424757053
438	0.4247070697
439	0.4246786185
440	0.4246330401
441	0.4245706475
442	0.4245199804
443	0.4244815809
444	0.4244344356
445	0.4243796583
446	0.4243236945
447	0.4242639918
448	0.4242270941
449	0.4241924898
450	0.4241560223
451	0.424102707
452	0.4240535855
453	0.4240185752
454	0.4239920714
455	0.4239553452
456	0.4238930994
457	0.4238383409
458	0.4237896658
459	0.4237509852
460	0.423693159
461	0.4236563413
462	0.4236040167
463	0.423563603
464	0.4235336066
465	0.4234871657
466	0.423455305
467	0.4234117778
468	0.423368294
469	0.4233012803
470	0.4232529105
471	0.4232005074
472	0.4231946888
473	0.42314437
474	0.4230911046
475	0.4230596353
476	0.4230171156
477	0.4230145197
478	0.4229455446
479	0.4228975561
480	0.4228327794
481	0.4227904961
482	0.4227437215
483	0.4227050434
484	0.4226697087
485	0.4226353822
486	0.4225915935
487	0.4225206162
488	0.4224652184
489	0.4224070992
490	0.4223674786
491	0.4223340597
492	0.4222759213
493	0.4222184661
494	0.4221588369
495	0.4221271944
496	0.4220731107
497	0.422034349
498	0.4219906475
499	0.4219254239
500	0.4218756176
501	0.4218306007
502	0.4217915864
503	0.4217595876
504	0.4217073517
505	0.4216546573
506	0.4215964674
507	0.4215404716
508	0.4214731229
509	0.4214059223
510	0.4213541719
511	0.4212956026
512	0.4212371936
513	0.4211996869
514	0.4211396449
515	0.4210795654
516	0.4210445948
517	0.4210201969
518	0.4209765835
519	0.4209336797
520	0.4209317617
521	0.4208815682
522	0.420818517
523	0.4207785687
524	0.4207191502
525	0.420670656
526	0.4206115277
527	0.4205503259
528	0.420501451
529	0.4204467806
530	0.4203975078
531	0.4203517903
532	0.4202972707
533	0.4202604434
534	0.420225894
535	0.4201759073
536	0.4201346916
537	0.4200782839
538	0.4200331905
539	0.4199763215
540	0.4199396848
541	0.4198992978
542	0.4198595919
543	0.4198242919
544	0.4197638282
545	0.4197231353
546	0.419679735
547	0.4196166027
548	0.4195778839
549	0.4195277725
550	0.4194833556
551	0.4194322296
552	0.4193899567
553	0.419332605
554	0.4192770971
555	0.4192366161
556	0.4191790718
557	0.4191390805
558	0.4190876925
559	0.4190350288
560	0.4189856388
561	0.4189312047
562	0.41887428
563	0.4188371124
564	0.4187745632
565	0.4187515532
566	0.4187141255
567	0.4186521673
568	0.4186108011
569	0.418542988
570	0.4184851064
571	0.418483042
572	0.4184235312
573	0.4184215349
574	0.4183817497
575	0.4183779666
576	0.4183381351
577	0.4182857789
578	0.4182244859
579	0.4181759309
580	0.4181308217
581	0.4180743066
582	0.4180374145
583	0.4180001747
584	0.4179546566
585	0.4179115932
586	0.4178687938
587	0.4178152721
588	0.4177607977
589	0.4177352633
590	0.4176959643
591	0.4176555854
592	0.4176039842
593	0.417568693
594	0.417540132
595	0.4174712797
596	0.417422365
597	0.4173820268
598	0.4173701087
599	0.4173205024
600	0.4172600438
601	0.4172223097
602	0.4171820702
603	0.4171342697
604	0.4170923337
605	0.4170452591
606	0.4170060582
607	0.4169382873
608	0.4169014467
609	0.416848374
610	0.4167921204
611	0.416756294
612	0.416709488
613	0.4166552638
614	0.4166101491
615	0.416568337
616	0.4165307766
617	0.4164891259
618	0.4164633839
619	0.4164229386
620	0.4163928896
621	0.4163466705
622	0.4162828053
623	0.4162375086
624	0.4161958994
625	0.4161459502
626	0.4161086415
627	0.4160563918
628	0.4159896306
629	0.4159343568
630	0.4158949634
631	0.4158541072
632	0.4158103083
633	0.4157620999
634	0.4157181486
635	0.4156946283
636	0.4156698601
637	0.4156278097
638	0.415573233
639	0.415507056
640	0.4154561208
641	0.4154158494
642	0.4153681917
643	0.4153057277
644	0.4152675687
645	0.4152195668
646	0.4151702644
647	0.4151238716
648	0.415087765
649	0.4150538029
650	0.4150044777
651	0.4149551655
652	0.4149250155
653	0.4148815151
654	0.4148411426
655	0.4147993039
656	0.4147600206
657	0.4147487913
658	0.4146978629
659	0.4146548047
660	0.4146378567
661	0.4145853669
662	0.4145333463
663	0.4144894432
664	0.4144392681
665	0.4144116609
666	0.4143612369
667	0.4143118192
668	0.4142507506
669	0.4142168475
670	0.414215231
671	0.4141705013
672	0.4141327052
673	0.41409074
674	0.4140594334
675	0.4140200934
676	0.4139808983
677	0.4139514437
678	0.4138966352
679	0.4138555797
680	0.4137898582
681	0.4137349509
682	0.4136768247
683	0.4136312293
684	0.4135712186
685	0.4135240731
686	0.4134856264
687	0.41344806
688	0.4133899538
689	0.4133442461
690	0.4133049346
691	0.4132613489
692	0.413227033
693	0.4131795358
694	0.413140392
695	0.4130829945
696	0.4130390033
697	0.413002096
698	0.4129546498
699	0.4129092369
700	0.4128559989
701	0.4128109516
702	0.4127600274
703	0.4127310279
704	0.4126879796
705	0.4126374556
706	0.4126034356
707	0.4125671176
708	0.4125290373
709	0.4124748559
710	0.412466293
711	0.4124194709
712	0.4123817694
713	0.4123288729
714	0.412291125
715	0.4122777011
716	0.4122508055
717	0.412191475
718	0.4121467622
719	0.4121298193
720	0.4121050246
721	0.4120581916
722	0.4120088191
723	0.4119522
724	0.4119268594
725	0.4118859004
726	0.4118327543
727	0.4117783157
728	0.4117671472
729	0.4117130379
730	0.4117116377
731	0.4116776702
732	0.4116390882
733	0.4115926773
734	0.4115554144
735	0.4115052424
736	0.4114650845
737	0.4114410773
738	0.4114397197
739	0.4113955657
740	0.4113489103
741	0.4113007588
742	0.4112585536
743	0.4112146029
744	0.4112134991
745	0.411166694
746	0.4111277438
747	0.4110757703
748	0.4110369308
749	0.410990652
750	0.410940172
751	0.410898193
752	0.4108611536
753	0.4108373966
754	0.4107920317
755	0.4107580898
756	0.4107230388
757	0.4106997877
758	0.410661365
759	0.4106232639
760	0.4105996269
761	0.4105590178
762	0.4105029675
763	0.4104366427
764	0.4104154664
765	0.4103746956
766	0.4103325469
767	0.4102795697
768	0.4102399747
769	0.4102077035
770	0.4101646172
771	0.4101230158
772	0.4100755446
773	0.4100285633
774	0.4099889107
775	0.4099484057
776	0.4099473616
777	0.4099076718
778	0.4098584457
779	0.4098236542
780	0.409778438
781	0.4097606215
782	0.4097277305
783	0.4096985852
784	0.409656712
785	0.4096243986
786	0.4095706812
787	0.4095304585
788	0.4094876359
789	0.4094403405
790	0.4093881494
791	0.4093465542
792	0.4092879845
793	0.4092610313
794	0.409202437
795	0.4091517393
796	0.4090939144
797	0.4090608155
798	0.4090186149
799	0.4089697831
800	0.4089213724
801	0.4088859924
802	0.4088459267
803	0.4087868237
804	0.408750087
805	0.4087017771
806	0.4086682468
807	0.4086385146
808	0.4085920705
809	0.4085364247
810	0.4085044058
811	0.4084536769
812	0.4084036524
813	0.4083537436
814	0.4083108866
815	0.4082539622
816	0.4082306743
817	0.4081966818
818	0.4081617701
819	0.4081243485
820	0.4080689954
821	0.408041872
822	0.4080088207
823	0.4079669633
824	0.407920618
825	0.4078786835
826	0.4078390824
827	0.4077966639
828	0.4077653381
829	0.4077606987
830	0.4077087607
831	0.407672558
832	0.4076146196
833	0.4075773633
834	0.4075528078
835	0.4075057014
836	0.4074602677
837	0.40745906
838	0.4074029163
839	0.4073718456
840	0.4073208046
841	0.4072612243
842	0.407228926
843	0.4071929201
844	0.407153353
845	0.4071107434
846	0.4070677455
847	0.407024495
848	0.4069735277
849	0.4069414017
850	0.4068968029
851	0.4068504872
852	0.4068028487
853	0.4067616112
854	0.406728077
855	0.40667423
856	0.4066358071
857	0.4065877689
858	0.4065529124
859	0.4064982598
860	0.4064557413
861	0.406420577
862	0.406385888
863	0.4063603379
864	0.4063007436
865	0.4062667248
866	0.4062251251
867	0.4061890035
868	0.4061466627
869	0.4061026318
870	0.4060673819
871	0.4060381773
872	0.4059851015
873	0.4059591045
874	0.4059316398
875	0.4058990981
876	0.4058591327
877	0.4058213884
878	0.4057897315
879	0.4057524083
880	0.4057149693
881	0.4056814659
882	0.405649568
883	0.4056071944
884	0.4055631801
885	0.4055096762
886	0.4054595444
887	0.4054278779
888	0.405383952
889	0.4053373313
890	0.4053001671
891	0.4052681374
892	0.4052328668
893	0.4051827494
894	0.4051468152
895	0.4050993316
896	0.4050482362
897	0.4050104807
898	0.4049661817
899	0.4049337533
900	0.4049006553
901	0.4048565926
902	0.4048158956
903	0.4047777444
904	0.404735107
905	0.4047080943
906	0.4046668713
907	0.4046356994
908	0.40459852
909	0.4045513551
910	0.4045188116
911	0.4044793703
912	0.4044259606
913	0.404379404
914	0.4043494311
915	0.4042894908
916	0.4042327686
917	0.404199434
918	0.4041571414
919	0.4041339739
920	0.4041016151
921	0.4040783214
922	0.4040352398
923	0.4039958511
924	0.4039653531
925	0.4039165335
926	0.4038811387
927	0.4038367275
928	0.4037946673
929	0.4037437938
930	0.4036904809
931	0.4036616982
932	0.4036206448
933	0.4035891332
934	0.4035623895
935	0.4035257821
936	0.4034980636
937	0.4034776215
938	0.4034426627
939	0.4034032995
940	0.4033660311
941	0.4033330949
942	0.4032924578
943	0.403259662
944	0.4032239383
945	0.4031801269
946	0.4031347241
947	0.4030974679
948	0.403045456
949	0.4029969297
950	0.4029584118
951	0.4029213556
952	0.4028930691
953	0.4028365698
954	0.4028358919
955	0.4027890384
956	0.4027667537
957	0.4027430569
958	0.402705335
959	0.4026537844
960	0.4026163274
961	0.402585276
962	0.4025528461
963	0.4025164065
964	0.4024747625
965	0.4024478208
966	0.4024042896
967	0.4023662281
968	0.4023278247
969	0.4022826503
970	0.4022434432
971	0.4022093621
972	0.4021575563
973	0.4021352938
974	0.4020982042
975	0.4020601036
976	0.4020193771
977	0.4019886999
978	0.4019506387
979	0.4018987416
980	0.4018611998
981	0.4018227838
982	0.4018212524
983	0.4017850128
984	0.4017387059
985	0.401698325
986	0.4016560655
987	0.4016221375
988	0.4015943289
989	0.4015538679
990	0.4015103491
991	0.4014752805
992	0.4014433061
993	0.4014070665
994	0.4013568149
995	0.4013134013
996	0.4012852892
997	0.401250411
998	0.4012023445
999	0.4011537277
